p,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
3.35981829e-05,1.0,0.0,0.9999987330044521,1.2669955479216455e-06,1.0,0.9999980995066783,0.0,-18.586177585542423,9,9,1.57540378169456e-08,0.0,3.333333298272123e-08,0.005942087695779165,1.0576537283490948e-06,0.009274614307253893
0.000615848211,0.9999939817467268,6.018253273176732e-06,0.9991226597221067,0.0008773402778933237,0.9999909726200903,0.9986839895831601,0.0,0.4673654419907468,9,9,1.650199105994888e-07,5.844533274790287e-06,6.20173660459411e-06,0.00162549291654577,6.212259702209622e-07,0.0030860642354060986
0.0112883789,0.9974178824791545,0.0025821175208454727,0.991519600084804,0.008480399915196002,0.9961268237187318,0.9872794001272059,0.0,0.002082702516943801,9,9,1.087238240968326e-05,0.002572048934279536,0.002593447974065577,0.0006966536021935337,0.007803798695295341,0.009129080335375886
0.0206130785,0.9850174334831591,0.014982566516840934,0.9846128641538714,0.015387135846128608,0.9775261502247384,0.9769192962308071,0.0,-0.005415467616652132,9,9,3.7819891382749736e-05,0.014943693183896545,0.015019532116471388,0.00044905165972842923,0.014977666516890031,0.01589440581438925
0.0233572147,0.9786476802135232,0.02135231978647678,0.9820780988458857,0.017921901154114295,0.9679715203202848,0.9731171482688284,0.0,0.017746171937722825,9,9,4.3428237475402215e-05,0.021310375466896278,0.021396376106036265,0.000387600198167051,0.017504874171618046,0.018345937416540586
0.0311537409,0.9527337764726621,0.04726622352733789,0.9763868669027979,0.023613133097202144,0.9291006647089933,0.964580300354197,0.0,0.007386546530864522,9,9,7.046462384584744e-05,0.04719957456800437,0.04733644752663546,0.000370068468084461,0.023250844567491543,0.023972382480276208
0.0362021775,0.9335638406643616,0.0664361593356384,0.9727738402722617,0.02722615972773834,0.9003457609965424,0.9591607604083924,0.0,0.0026484311749861624,9,9,9.558379319272948e-05,0.06633667533663334,0.06653386600132816,0.0003485149577461179,0.026866162451338355,0.027575640470910233
0.0420687089,0.906683200933168,0.09331679906683199,0.9685584643144155,0.0314415356855845,0.8600248013997519,0.9528376964716231,0.0,-0.0025768986501535133,9,9,0.00013293911605066625,0.09319093240142406,0.0934567883987655,0.00033459940485586664,0.031134773501985732,0.031765662615676836
0.0483293024,0.882908801170912,0.11709119882908803,0.9633075737002575,0.03669242629974245,0.8243632017563679,0.9449613605503864,0.0,0.007917868446535388,9,9,0.0001855419875861464,0.11691148683088504,0.11726523616068102,0.00035948901759673413,0.03632600667674,0.037065079149349124
0.0547144504,0.863161068035056,0.136838931964944,0.9591884324081157,0.04081156759188431,0.7947416020525839,0.9387826486121735,0.0,-0.0033709554163363635,9,9,0.0002654261680712142,0.13657217996761153,0.13710719862892817,0.00034428091593419245,0.04049015207509842,0.04112721921539449
0.0635808794,0.831033068356336,0.16896693164366405,0.9523211711434549,0.047678828856545064,0.7465496025345039,0.9284817567151824,0.0,0.001678894989949793,9,9,0.0003766126720469132,0.1686115823138842,0.16934150230658498,0.0003232383696768776,0.04734177360658231,0.04802100517312328
0.0738841056,0.7792746688739199,0.22072533112608006,0.9443177818901555,0.05568221810984453,0.66891200331088,0.9164766728352333,0.0,0.0019475189382242779,9,9,0.0005814832997521068,0.2201057471322758,0.22132993912003393,0.0002971127842435169,0.05539637352603615,0.05597639112023609
0.0858569606,0.7257413360759198,0.27425866392408016,0.9352815606471845,0.06471843935281552,0.5886120041138799,0.9029223409707766,0.0,0.0027377163788330724,9,9,0.0008608735294300936,0.2733840185994932,0.2750616932493832,0.00031883437577180147,0.06440356079596447,0.06502980788303521
0.0925524149,0.700762136325712,0.29923786367428795,0.930917867357488,0.06908213264251195,0.551143204488568,0.896376801036232,0.0,-0.002042084361512578,9,9,0.0009210444191001576,0.29825757568409095,0.30016181033171535,0.0003085738331482759,0.06877804731221952,0.06939856997268097
0.1,0.681692269849744,0.31830773015025604,0.9243301340900318,0.07566986590996816,0.522538404774616,0.8864952011350479,0.0,0.003773766071956545,9,9,0.0011853118645383657,0.31718559682814407,0.3195243274714235,0.0003255574047361155,0.0753830392461696,0.07601623390650442
0.143844989,0.537701871289648,0.46229812871035203,0.8918016010819839,0.10819839891801608,0.30655280693447196,0.837702401622976,0.0,0.0016650546573062793,9,9,0.0031512225875061353,0.4592009767413235,0.4653557073464429,0.00039259681453526724,0.10778357225549767,0.1085644362476891
0.206913808,0.42583467240832,0.57416532759168,0.8424986682416801,0.15750133175831993,0.13875200861248,0.7637480023625199,0.0,0.005418447710806801,9,9,0.004086636707107913,0.5705727302942726,0.5785543408811232,0.0005427543501606727,0.1569391130972755,0.15801115575322175
0.335981829,0.503422404965776,0.49657759503422405,0.7407237359260961,0.2592762640739039,0.255133607448664,0.611085603889144,0.0,0.007303776324532655,9,9,0.007924661777808789,0.4890460964428724,0.5044843682884896,0.0009063634742376312,0.258347560083191,0.2601345680653209
