check_num,threshold_p,threshold_rb_error_rate,threshold_lrb_error_rate,method,start_idx_used,tail_cut_idx,n_points_used
1,0.18661102178003094,0.14162999327107545,0.14162999327107545,permanent_regime_no_consecutive_interp,3,17,17
2,0.1146792823471585,0.08656040974638066,0.08656040974638066,permanent_regime_interp,3,17,17
3,0.07023131762780895,0.0528447941622116,0.052844794162211606,permanent_regime_interp,3,18,18
4,0.058116605218874955,0.043446624079834746,0.04344662407983475,permanent_regime_interp,3,18,18
5,0.04677339698391063,0.03538746222181016,0.03538746222181016,permanent_regime_interp,3,18,18
6,0.0417373449010934,0.031203441578624543,0.031203441578624543,permanent_regime_interp,3,18,18
7,0.036912152303657984,0.02773631607004779,0.02773631607004779,permanent_regime_interp,3,18,18
8,0.03527409674830741,0.02656196436954123,0.02656196436954123,permanent_regime_interp,3,18,18
9,0.03361101101924223,0.02537173986164307,0.02537173986164307,permanent_regime_interp,3,18,18
10,0.0311537409,0.0236131395277373,0.0232275662021154,permanent_regime_no_interp,3,18,18
11,0.02834423524628495,0.021562284088963442,0.021562284088963442,permanent_regime_interp,3,18,18
12,0.026971858529853687,0.02056048996578097,0.02056048996578097,permanent_regime_interp,3,18,18
13,0.02614251149206685,0.019955091332456622,0.019955091332456622,permanent_regime_interp,3,18,18
14,0.025336665725170935,0.019366847926836128,0.019366847926836128,permanent_regime_interp,3,18,18
15,0.02378706075252146,0.01823568245581924,0.01823568245581924,permanent_regime_interp,3,18,18
16,0.023203531153249347,0.017779949775616335,0.017779949775616335,permanent_regime_interp,3,18,18
17,0.022320422029507445,0.016964219729985974,0.016964219729985974,permanent_regime_interp,3,18,18
18,0.0206130785,0.0153871423589239,0.014982573033682,permanent_regime_no_interp,3,18,18
19,0.017731234293885408,0.013252581720994064,0.013252581720994064,permanent_regime_interp,3,18,18
20,0.01671943991434381,0.01250315312535184,0.01250315312535184,permanent_regime_interp,3,18,18
21,0.015647116567148154,0.011708891172120492,0.011708891172120494,permanent_regime_interp,3,18,18
22,0.015551380424681098,0.011637980121167832,0.011637980121167832,permanent_regime_interp,3,18,18
