check_num,threshold_p,threshold_p_std_boot,threshold_p_ci_low,threshold_p_ci_high,threshold_rb_error_rate,threshold_lrb_error_rate,method,start_idx_used,tail_cut_idx,n_points_used
1,0.16064450443288983,0.0006731940842145572,0.15999405828636706,0.16134466904486058,0.12138053014612152,0.12138053014612152,permanent_regime_interp,3,18,18
2,0.09888960415596526,0.0004128195628832767,0.0984894667300879,0.09933891883032696,0.07306415615849973,0.07306415615849973,permanent_regime_interp,3,18,18
3,0.05782662286925591,0.00024568490859378493,0.05757452142319621,0.0580593409442384,0.04332164223785182,0.04332164223785182,permanent_regime_interp,3,18,18
4,0.04498052194371219,0.00027855108367529167,0.044709130261518126,0.04527728869023332,0.033468709605938556,0.033468709605938556,permanent_regime_interp,3,18,18
5,0.0362021775,0.00033919303439077105,0.036149794961856475,0.036770417738747854,0.0274641677253583,0.027116499728835,permanent_regime_no_interp,3,18,18
6,0.0311537409,0.00036236766363901906,0.0311537409,0.031782399673177336,0.0233215197667848,0.0229550251037831,permanent_regime_no_interp,3,18,18
7,0.026452415950248442,0.0002958692972736061,0.02613780342974388,0.02672676700945721,0.020200727689338376,0.020200727689338376,permanent_regime_interp,3,18,18
8,0.024431650785915863,0.00033485061740108174,0.024111965291498765,0.024692239687045543,0.018859321174657426,0.018859321174657426,permanent_regime_interp,3,18,18
9,0.02270413807102968,0.0004401070730878722,0.02232251007690487,0.0231546730760786,0.01763022592733516,0.01763022592733516,permanent_regime_interp,3,18,18
10,0.01993210901236188,0.0009159173580375651,0.018834138887564342,0.0206130785,0.015368853033741341,0.015368853033741341,permanent_regime_interp,3,18,18
11,0.01603289887225431,0.0007860714364653308,0.015262886333094972,0.016789878384169794,0.011878179409080824,0.011878179409080824,permanent_regime_interp,3,18,18
12,0.014871432868310303,0.0007465797622120745,0.014137546086400842,0.015548831348633219,0.010838405044471856,0.010838405044471856,permanent_regime_interp,3,18,18
13,0.014256297053989807,0.0007448296802201418,0.013556561421349781,0.014900195372110032,0.010287719576010957,0.010287719576010957,permanent_regime_interp,3,18,18
14,0.013683213147629873,0.0007923774732071722,0.013026003817470688,0.01435045391854685,0.00977468006165617,0.00977468006165617,permanent_regime_interp,3,18,18
15,0.012854863510736924,0.001221458168123466,0.012231467921205,0.013522998945804221,0.009033120072427285,0.009033120072427285,permanent_regime_interp,3,18,18
16,0.012398492968851298,0.0019584301706285345,0.011922406452517676,0.013158298608683594,0.008624565376375884,0.008624565376375884,permanent_regime_interp,3,18,18
17,0.011957580032560361,0.003066646299982325,0.011681717316255034,0.013180887241193776,0.00822984872808569,0.00822984872808569,permanent_regime_interp,3,18,18
18,0.011497850132456152,0.004151966785554142,0.011526317152347487,0.0206130785,0.007818286647792858,0.007818286647792858,permanent_regime_interp,3,18,18
19,0.0206130785,0.004270160877834513,0.011531040076495188,0.0206130785,0.0159784745068819,0.0273002317269975,permanent_regime_no_interp,3,18,18
20,0.0206130785,0.0037535207185673334,0.011585382626094314,0.0206130785,0.0159784745068819,0.0285725437142746,permanent_regime_no_interp,3,18,18
21,0.0206130785,0.002336059405579971,0.0206130785,0.0206130785,0.0159784745068819,0.0308149543585171,permanent_regime_no_interp,3,18,18
22,0.0206130785,0.0014837744051457995,0.0206130785,0.0206130785,0.0159784745068819,0.0316106263505604,permanent_regime_no_interp,3,18,18
