phase,depth,simulate_depth_rows,sampled_circuit_shots,mean_active_noise_locations,mean_circuit_operations,mean_dem_sample_seconds,mean_dem_compile_seconds,simulator_seconds,dem_compile_seconds,dem_sample_seconds,unpack_seconds,record_seconds,total_seconds,sample_seconds_per_1m_shots_per_row
LRB,0.0,4500,450000000.0,67.2,118.0,0.12294340913355556,0.0015436961108888888,560.41267211,6.946632499,553.245341101,57.811620048,25.362612115,643.665271083,1.2294340913355557
LRB,2.0,4500,450000000.0,300.53333333333336,532.0,0.500764955446,0.013404771245555556,2313.87862455,60.321470605,2253.442299507,105.159789243,9.245241954,2428.381312979,5.00764955446
LRB,4.0,4500,450000000.0,532.9955555555556,944.1333333333333,0.8944780470508888,0.035873934646,4186.716103347,161.432705907,4025.151211729,177.118155473,9.252385096,4373.208941109,8.944780470508888
LRB,6.0,4500,450000000.0,759.9822222222223,1344.5333333333333,1.313912544120889,0.06828936623422222,6220.053556873,307.302148054,5912.606448544,250.865226336,9.359614774,6480.430515554,13.13912544120889
LRB,10.0,4500,450000000.0,1214.4533333333334,2146.4,2.2034759829857777,0.16477100715066667,10657.269168736,741.469532178,9915.641923436,398.544974552,9.826963616,11065.870392726,22.034759829857776
LRB,14.0,4500,450000000.0,1674.5244444444445,2960.266666666667,3.174905529712222,0.3097480717191111,15681.105452398,1393.866322736,14287.074883705,547.830246231,10.268506783,16239.548816243,31.74905529712222
LRB,18.0,4500,450000000.0,2137.208888888889,3779.733333333333,4.224760875218222,0.4976096924,21250.843981442,2239.2436158,19011.423938482,695.072251062,11.482953483,21957.807444236,42.24760875218222
LRB,20.0,4500,450000000.0,2362.1422222222222,4175.733333333334,4.765985685940667,0.5951770953108888,24125.415349012,2678.296928899,21446.935586733,769.388711783,11.795205783,24907.034336685,47.659856859406666
LRB,22.0,4500,450000000.0,2591.68,4581.6,5.332395557688444,0.7147929590986667,27212.531578815,3216.568315944,23995.780009598,841.11314043,10.064131202,28064.178386414,53.32395557688444
LRB_const0,0.0,4500,450000000.0,0.0,20.0,0.0003509485442222222,7.058217133333333e-05,2.0150970519999998,0.317619771,1.579268449,15.077965102,6.943266684,24.083134508,0.003509485442222222
LRB_const0,2.0,4500,450000000.0,78.4,188.0,0.10285596646577778,0.00149073577,469.636589775,6.708310965,462.851849096,16.603014871,9.426414528,495.721901016,1.028559664657778
LRB_const0,4.0,4500,450000000.0,155.92888888888888,354.1333333333333,0.20090012304488888,0.002875515682888889,917.077197151,12.939820573,904.050553702,18.749947757,9.63380941,945.5264891099999,2.009001230448889
LRB_const0,6.0,4500,450000000.0,227.98222222222222,508.53333333333336,0.29291796978866663,0.004415276224,1338.092686906,19.868743008,1318.130864049,20.675071934,9.737948562,1368.582087389,2.929179697886666
LRB_const0,10.0,4500,450000000.0,372.58666666666664,818.4,0.4809467575962222,0.00793440773088889,2200.064440396,35.704834789,2164.260409183,22.877068312,9.981189007,2233.023085415,4.809467575962222
LRB_const0,14.0,4500,450000000.0,522.7911111111111,1140.2666666666667,0.6761598606857777,0.012201024907333333,3097.732005724,54.904612082999996,3042.719373086,24.800066102,10.376714194,3133.033822105,6.761598606857777
LRB_const0,18.0,4500,450000000.0,675.6088888888889,1467.7333333333333,0.8779612194673333,0.017211475376222224,4028.390857461,77.451639193,3950.825487603,25.902291418,11.501434193,4065.946794166,8.779612194673332
LRB_const0,20.0,4500,450000000.0,745.6088888888889,1617.7333333333333,0.9682983000793334,0.024739707284666665,4468.787323263,111.328682781,4357.342350357,26.472592354,11.792395821,4507.213531995,9.682983000793334
LRB_const0,22.0,4500,450000000.0,820.2133333333334,1777.6,1.0664447141655555,0.022672403342666667,4901.144633226,102.025815042,4799.001213745,26.686277838,10.178179959,4938.191852329,10.664447141655556
RB,0.0,450,4500000.0,0.0,2.0,1.8287535555555557e-05,0.00031819691555555555,0.202176127,0.143188612,0.008229391,0.0,0.0,0.251898051,0.00018287535555555558
RB,2.0,450,4500000.0,18.16888888888889,40.93333333333333,0.0030906219022222223,0.002322785068888889,2.444026275,1.045253281,1.390779856,0.0,0.0,2.493123809,0.03090621902222222
RB,4.0,450,4500000.0,37.70666666666666,82.8,0.0061909799688888885,0.004047435371111111,4.615643479,1.821345917,2.785940986,0.0,0.0,4.665958541,0.06190979968888888
RB,6.0,450,4500000.0,56.12444444444444,122.26666666666667,0.00914262579111111,0.005766858588888889,6.717204259,2.595086365,4.114181606,0.0,0.0,6.768519959,0.0914262579111111
RB,10.0,450,4500000.0,95.26222222222222,206.13333333333333,0.015363362944444445,0.009498321897777778,11.196018639,4.274244854,6.913513325,0.0,0.0,11.249933447,0.15363362944444445
RB,14.0,450,4500000.0,134.83555555555554,290.93333333333334,0.021450227306666667,0.01901810601777778,18.219335388,8.558147708,9.652602288,0.0,0.0,18.274038968,0.21450227306666667
RB,18.0,450,4500000.0,174.84444444444443,376.6666666666667,0.027739556235555556,0.019518411966666666,21.274600149,8.783285385,12.482800306,0.0,0.0,21.332523631,0.27739556235555557
RB,20.0,450,4500000.0,195.56444444444443,421.06666666666666,0.03096631540888889,0.025765132726666667,25.538285979,11.594309727,13.934841934,0.0,0.0,25.597169915,0.3096631540888889
RB,22.0,450,4500000.0,214.60444444444445,461.8666666666667,0.03376912130444445,0.02408833640222222,26.045659419,10.839751381,15.196104587,0.0,0.0,26.104476282,0.33769121304444444
