p_index,probability,simulate_depth_rows,sampled_circuit_shots,dem_cache_miss_rows,dem_cache_hit_rows,mean_active_noise_locations,simulator_seconds,dem_compile_seconds,dem_sample_seconds,unpack_seconds,record_seconds,total_seconds
0,0.0,5670,542700000.0,810,4860,0.0,66.792775203,27.742208257,38.914605516,185.548689383,13.746442017,266.251174977
1,0.0001,5670,542700000.0,810,4860,869.1922398589065,7503.75130328,824.297383974,6679.270109281,198.047678704,11.937189909,7713.936276623
2,0.0002,5670,542700000.0,810,4860,869.1922398589065,7582.001323238,800.534898697,6781.293136679,203.431129008,12.354014608,7797.959748392
3,0.0005,5670,542700000.0,810,4860,869.1922398589065,7668.394483679,807.842788754,6860.381547106,217.267971453,12.797117777,7898.722031168
4,0.001,5670,542700000.0,810,4860,869.1922398589065,7751.716480114,795.700807124,6955.853036847,245.071882538,12.041440776,8009.009389937
5,0.002,5670,542700000.0,810,4860,869.1922398589065,7945.173829358,801.37209778,7143.639340785,269.094676317,12.626227654,8227.070818117
6,0.005,5670,542700000.0,810,4860,869.1922398589065,8295.446643911,800.669846046,7494.594945826,280.922132628,13.795198264,8590.555927564
7,0.0075,5670,542700000.0,810,4860,869.1922398589065,8664.747619281,799.3369284190001,7865.2477793,290.430118263,13.936596809,8969.31610366
8,0.01,5670,542700000.0,810,4860,869.1922398589065,8949.27460218,797.58511865,8151.522602987,291.755820557,14.173221968,9255.406471663
9,0.0125,5670,542700000.0,810,4860,869.1922398589065,9361.154286085,800.344243798,8560.634647248,301.503618124,12.654705159,9675.541094115
10,0.015,5670,542700000.0,810,4860,869.1922398589065,9745.35648193,801.779344299,8943.415758682,297.396637102,14.190313632,10057.301605329
11,0.02,5670,542700000.0,810,4860,869.1922398589065,10462.706414847,811.443933438,9651.104858284,303.073007157,13.123845122,10779.101630572
12,0.03,5670,542700000.0,810,4860,869.1922398589065,11790.74361311,804.030587168,10986.540621536,311.325417617,13.529268591,12115.988558492
13,0.04,5670,542700000.0,810,4860,869.1922398589065,13237.003428026,801.12626114,12435.688923816,321.403502703,13.026205317,13571.881997611
14,0.05,5670,542700000.0,810,4860,869.1922398589065,14723.156983709,802.545916513,13920.440092491,324.476129292,12.297179561,15060.142929445
