p,lambda,lrb_lambda,rb_p,p_raw,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9,9,1.3052486272187133e-08,0.0,3.333333298272123e-08,0.261035429046315,6.66598555283837e-06,0.6666665916666674
0.0005,0.0005,0.0005,0.0005,0.0001,0.9999992256666744,7.743333255705309e-07,0.9996154774915201,0.0003845225084798676,0.9999988385000116,0.9994232162372804,0.0,0.0,9,9,1.900223491853563e-07,5.723333277307674e-07,9.473333237863812e-07,0.0016377417390153652,4.785440521888339e-06,0.0033301477946985937
0.001,0.001,0.001,0.001,0.0002,0.9999947278000527,5.272199947281564e-06,0.9992378216876219,0.0007621783123781256,0.9999920917000791,0.9988567325314327,0.0,0.0,9,9,2.8724094753628945e-07,4.969724950343313e-06,5.526719944803915e-06,0.0005866886226346336,3.4505004314899774e-06,0.000482214256471294
0.0025,0.0025,0.0025,0.0025,0.0005,0.9999630939481691,3.690605183093165e-05,0.9981082196189179,0.0018917803810820644,0.9999446409222535,0.9971623294283768,0.0,0.0,9,9,5.609629644591607e-07,3.640984313590945e-05,3.747329895020801e-05,0.001484954986083185,0.0003829364149586345,0.003688768498445616
0.005,0.005,0.005,0.005,0.001,0.999845139584882,0.00015486041511802995,0.9961231772387683,0.003876822761231691,0.9997677093773228,0.9941847658581524,0.0,0.0,9,9,1.2939956905073974e-06,0.0001534373734656258,0.0001559967984400279,0.000995381162260904,4.81381627070121e-06,0.0020966159022338584
0.01,0.01,0.01,0.01,0.002,0.9992677692377224,0.0007322307622775748,0.9922621974107114,0.007737802589288578,0.9989016538565835,0.988393296116067,0.0,0.0,9,9,4.999566945539548e-06,0.0007269866302301864,0.0007368986489310059,0.001371250853409402,0.0025358219906417867,0.005347931879320687
0.025,0.025,0.025,0.025,0.005,0.993472494465275,0.006527505534725031,0.9814065495192678,0.018593450480732243,0.9902087416979125,0.9721098242789018,0.0,0.0,9,9,4.632853602829784e-05,0.006485561243944402,0.006578170536884928,0.001269454526192634,0.018007841206588337,0.020583460380832027
0.0375,0.0375,0.0375,0.0375,0.0075,0.9809789161902108,0.019021083809789174,0.9722833576104998,0.027716642389500223,0.9714683742853163,0.9584250364157496,0.0,0.0,8,9,0.00015004777243699056,0.018868377837982918,0.019161453781718848,0.00133318648259931,0.026856046451439453,0.029259939547400714
0.05,0.05,0.05,0.05,0.01,0.9561906057714272,0.04380939422857277,0.9622880910437858,0.037711908956214235,0.9342859086571409,0.9434321365656786,0.0,0.0,7,9,0.0003338615881052575,0.04351968537813654,0.044189614598103846,0.001249015109978936,0.03367831976988352,0.0360911603857551
0.0625,0.0625,0.0625,0.0625,0.0125,0.9033568009664319,0.0966431990335681,0.9545611524543883,0.04543884754561167,0.8550352014496478,0.9318417286815827,0.0,0.0,6,9,0.0005347895178771018,0.09610020170566477,0.097199444361339,0.0011969782734138382,0.045621819383781806,0.0479966958400331
0.075,0.075,0.075,0.075,0.015,0.832897068337696,0.16710293166230406,0.9458287845417122,0.05417121545828785,0.7493456025065439,0.9187431768125683,0.0,0.0,5,9,0.0007866995693382789,0.16628560900381067,0.16789239298774272,0.0012414175156680856,0.05375750100909166,0.05627186967728127
0.1,0.1,0.1,0.1,0.02,0.7124810695418559,0.28751893045814414,0.9288928007110719,0.07110719928892806,0.5687216043127838,0.8933392010666079,0.0,0.0,5,9,0.0013479118071461932,0.2862322531376775,0.28885286111147146,0.0012086280874651727,0.0711290872887091,0.07350530059828037
0.15,0.15,0.15,0.15,0.03,0.5955125373782079,0.40448746262179214,0.8956762677099039,0.10432373229009606,0.39326880606731185,0.8435144015648559,0.0,0.0,5,9,0.0031655995131759625,0.40170527598294725,0.4078547585881191,0.0013097877721569503,0.1038467829615322,0.10646798826865359
0.2,0.2,0.2,0.2,0.04,0.47909120520908793,0.5209087947909121,0.867011201329888,0.13298879867011204,0.21863680781363196,0.8005168019948319,0.0,0.0,5,9,0.007340882206403006,0.5139606135270606,0.52850132804832,0.0015382966235272415,0.13590188664098113,0.1388033479453
0.25,0.25,0.25,0.25,0.05,0.45944587207220794,0.5405541279277921,0.8446202682204641,0.1553797317795359,0.18916880810831196,0.7669304023306961,0.0,0.0,5,9,0.005773022133147841,0.5354680906453191,0.5465401332012654,0.0016519063448638032,0.16795214765381192,0.171146131621872
