timestamp_utc,backend,phase,event,probability_index,probability,batch_index,batch_shots,shots_remaining_before,shots_remaining_after,clifford_index,depth_index,depth,shots,circuit_dimension,circuit_qudits,circuit_operations,simulator_seconds,dem_compile_seconds,dem_sample_seconds,dem_cache_hit,dem_total_noise_locations,dem_active_noise_locations,dem_detectors,dem_logicals,unpack_seconds,record_seconds,process_seconds,load_seconds,write_seconds,total_seconds,notes
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,0,0,0,10000,3,1,2,0.000461140,0.000329014,0.000103352,0,0,0,0,1,,,0.000136244,,,0.000604067,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,0,1,2,10000,3,1,34,0.005109932,0.001751788,0.003341704,0,16,16,0,1,,,0.000127227,,,0.005243571,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,0,2,4,10000,3,1,54,0.008227087,0.002489975,0.005722224,0,26,26,0,1,,,0.000131395,,,0.008365616,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,0,3,6,10000,3,1,82,0.012843778,0.003616477,0.009213907,0,40,40,0,1,,,0.000137226,,,0.012988489,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,0,4,10,10000,3,1,162,0.023333357,0.007015718,0.016304174,0,80,80,0,1,,,0.000135383,,,0.023475562,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,0,5,14,10000,3,1,250,0.036391355,0.010674092,0.025703618,0,124,124,0,1,,,0.000128920,,,0.036528620,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,0,6,18,10000,3,1,326,0.049377851,0.014725829,0.034636251,0,162,162,0,1,,,0.000134722,,,0.049522190,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,0,7,20,10000,3,1,370,0.055461920,0.017191088,0.038256234,0,184,184,0,1,,,0.000140582,,,0.055610708,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,0,8,22,10000,3,1,414,0.060921945,0.018615185,0.042291953,0,206,206,0,1,,,0.000161401,,,0.061094086,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,1,0,0,10000,3,1,2,0.000322873,0.000285122,0.000016090,0,0,0,0,1,,,0.000112359,,,0.000442365,simulated_shots=10001;reference_shot_dropped=1
