p,lambda,lrb_lambda,rb_p,p_raw,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9,9,1.2768775798930755e-08,0.0,3.333333298272123e-08,0.261035429046315,6.66598555283837e-06,0.6666665916666674
0.0005,0.0005,0.0005,0.0005,0.0001,0.999998283125017,1.716874982959915e-06,0.9996236447897635,0.00037635521023648977,0.9999974246875257,0.9994354671846454,0.0,0.0,9,9,1.9147102138995042e-07,1.537499984660684e-06,1.93227998079859e-06,0.002234184342542976,0.00039890136349898683,0.005365370711146356
0.001,0.001,0.001,0.001,0.0002,0.999994509640055,5.490359945015122e-06,0.99925901419421,0.0007409858057899621,0.9999917644600823,0.9988885212913149,0.0,0.0,9,9,2.70188836721115e-07,5.175408281488103e-06,5.698419943023225e-06,0.0018750850332666684,0.000346756703652411,0.004416409093435889
0.0025,0.0025,0.0025,0.0025,0.0005,0.999963201389368,3.6798610631993967e-05,0.9981239786187602,0.0018760213812397675,0.999944802084052,0.9971859679281404,0.0,0.0,9,9,5.296055512270089e-07,3.624921147504789e-05,3.731107687698909e-05,0.0015245233552020744,0.0007828465937715156,0.003994834651785016
0.005,0.005,0.005,0.005,0.001,0.9998403309682633,0.00015966903173669778,0.996243365884233,0.003756634115766988,0.999760496452395,0.9943650488263496,0.0,0.0,9,9,1.3159266970062908e-06,0.0001582661484174075,0.00016093490672408617,0.0015693028834688736,0.003339468406605306,0.006554001454459999
0.01,0.01,0.01,0.01,0.002,0.9992460228875398,0.0007539771124601691,0.9924828187418385,0.007517181258161476,0.9988690343313097,0.9887242281127577,0.0,0.0,9,9,3.822010656360999e-06,0.0007503895924960702,0.0007576977369564019,0.0013297356417776034,0.00747453272525469,0.010205703097942966
0.025,0.025,0.025,0.025,0.005,0.9931377010752896,0.006862298924710353,0.9814048428526183,0.01859515714738169,0.9897065516129344,0.9721072642789274,0.0,0.0,9,9,3.9098155764549084e-05,0.006825020331749698,0.006906085624805782,0.0012870598394538707,0.01851297773487018,0.021198904108010855
0.0375,0.0375,0.0375,0.0375,0.0075,0.9817719201822808,0.018228079817719234,0.9723207136101261,0.027679286389873936,0.9726578802734213,0.9584810704151893,0.0,0.0,9,9,0.00011600864440768087,0.018103941258960497,0.018339314216606884,0.0013042538629631872,0.027378199086217983,0.029734878315984523
0.05,0.05,0.05,0.05,0.01,0.959848533734848,0.04015146626515198,0.963273267033934,0.03672673296606599,0.939772800602272,0.944909900550901,0.0,0.0,8,9,0.00020961504785031498,0.03993273986733925,0.04034141351658584,0.0012701954172697524,0.03598509340014912,0.03850534958827994
0.0625,0.0625,0.0625,0.0625,0.0125,0.9151162675155039,0.0848837324844961,0.9543324564566754,0.045667543543324585,0.872674401273256,0.9314986846850132,0.0,0.0,6,9,0.00038619977564295833,0.08450436182162308,0.08529501781371658,0.0012061227568973191,0.04535749074642515,0.0477720516822796
0.075,0.075,0.075,0.075,0.015,0.857530134758032,0.14246986524196803,0.9457106885428931,0.054289311457106915,0.7862952021370478,0.9185660328143397,0.0,0.0,6,9,0.0005883181103169587,0.1418904092477626,0.14306835056931663,0.0012595917296890247,0.05350041290499596,0.05605101170615654
0.1,0.1,0.1,0.1,0.02,0.732569602674304,0.26743039732569596,0.9287941340453919,0.0712058659546081,0.598854404011456,0.8931912010680879,0.0,0.0,6,9,0.0011418316428620549,0.2662982160036846,0.26866781597998846,0.0012011985217666784,0.07084772195818945,0.07321392993452737
0.15,0.15,0.15,0.15,0.03,0.5945770707208959,0.40542292927910406,0.8964725343686079,0.10352746563139215,0.3918656060813439,0.844708801552912,0.0,0.0,6,9,0.00242124123273896,0.4028336813049965,0.40752227859144396,0.0012923881797450825,0.10372055362946125,0.10629047360376195
0.2,0.2,0.2,0.2,0.04,0.504350404956496,0.49564959504350403,0.867655467990112,0.13234453200988805,0.25652560743474395,0.801483201985168,0.0,0.0,6,9,0.005566185221740964,0.49009326443240075,0.5015228963181042,0.0014388556661589402,0.13615120930515456,0.13891553994417793
0.25,0.25,0.25,0.25,0.05,0.44493067221736,0.55506932778264,0.8407850682588159,0.15921493174118406,0.16739600832603996,0.761177602388224,0.0,0.0,6,9,0.0055918647101911405,0.549734565169321,0.56101066105656,0.001570909608903045,0.16875016364583176,0.17182282494843842
