check_num,p_index,p,p_raw,lrb_lambda,rb_p,lrb_f,lrb_fidelity,lrb_error_rate,lrb_a,lrb_b,lrb_chi2,lrb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_f,rb_fidelity,rb_error_rate,rb_a,rb_b,rb_chi2,rb_n_points,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high,lambda
1,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9,1.2593184043374641e-08,0.0,3.333333298272123e-08,1.0,1.0,0.0,0.0,1.0,0.0,9,0.261035429046315,6.66598555283837e-06,0.6666665916666674,0.0
1,1,0.0005,0.0001,0.0005,0.0005,0.9999992965000071,0.9999995310000047,4.6899999528449143e-07,0.0,0.9992619419713996,0.2637726520295619,9,1.9098733017461798e-07,2.679999973054237e-07,6.733333265396269e-07,0.9994354671846454,0.9996236447897635,0.00037635521023648977,0.0,0.9999999999934934,0.14174297536775526,9,0.002234184342542976,0.00039890136349898683,0.005365370711146356,0.0005
1,2,0.001,0.0002,0.001,0.001,0.999999091000009,0.9999993940000061,6.059999938523575e-07,0.0,0.9985103394068757,0.04872981876612676,9,2.782851935662724e-07,3.349999966317796e-07,8.796666578492207e-07,0.9988885212913149,0.99925901419421,0.0007409858057899621,0.0,0.9999999997189982,0.1120663133186339,9,0.0018750850332666684,0.000346756703652411,0.004416409093435889,0.001
1,3,0.0025,0.0005,0.0025,0.0025,0.999992795155072,0.999995196770048,4.803229951999555e-06,0.0,0.9962723512539814,0.5110897327170191,9,5.607641770192393e-07,4.209944957977996e-06,5.3449199466371056e-06,0.9971859679281404,0.9981239786187602,0.0018760213812397675,0.0,1.0000000007363585,0.07613014816103914,9,0.0015245233552020744,0.0007828465937715156,0.003994834651785016,0.0025
1,4,0.005,0.001,0.005,0.005,0.9999695031873674,0.9999796687915783,2.033120842170888e-05,0.0,0.99248700393895,0.484124383488279,9,1.1282550496818827e-06,1.9212383807865052e-05,2.1425534485808306e-05,0.9943650488263496,0.996243365884233,0.003756634115766988,0.0,0.9999999996862204,0.15173289466139842,9,0.0015693028834688736,0.003339468406605306,0.006554001454459999,0.005
1,5,0.01,0.002,0.01,0.01,0.9998710823137892,0.9999140548758595,8.594512414050737e-05,0.0,0.9847839500059025,0.571909034128065,9,3.5673009785213243e-06,8.233929304323429e-05,8.932140657341936e-05,0.9887242281127577,0.9924828187418385,0.007517181258161476,0.0,1.0000000001343021,0.16115886361862947,9,0.0013297356417776034,0.00747453272525469,0.010205703097942966,0.01
1,6,0.025,0.005,0.025,0.025,0.9988830447178696,0.9992553631452464,0.0007446368547535664,0.0,0.9607271599737375,1.666559552740173,8,2.1055895558323128e-05,0.0007236298339230451,0.0007630792323691793,0.9721072642789274,0.9814048428526183,0.01859515714738169,0.0,0.9999999970627368,0.08246516504061516,9,0.0012870598394538707,0.01851297773487018,0.021198904108010855,0.025
1,7,0.0375,0.0075,0.0375,0.0375,0.997139599388604,0.9980930662590692,0.0019069337409307607,0.0,0.9395041893983598,1.2895074908015012,6,6.30436765481789e-05,0.0018435489148979078,0.001968030593653025,0.9584810704151893,0.9723207136101261,0.027679286389873936,0.0,0.9999999975954177,0.08203844155751312,9,0.0013042538629631872,0.027378199086217983,0.029734878315984523,0.0375
1,8,0.05,0.01,0.05,0.05,0.993767390862326,0.9958449272415507,0.004155072758449285,0.0,0.9170863470200963,1.1108573164902362,5,0.00011876686079864994,0.004030958631690438,0.004261590357384271,0.944909900550901,0.963273267033934,0.03672673296606599,0.0,0.9999999984641825,0.020527919457243894,9,0.0012701954172697524,0.03598509340014912,0.03850534958827994,0.05
1,9,0.0625,0.0125,0.0625,0.0625,0.9892559392474406,0.9928372928316271,0.007162707168372862,0.0,0.8937711800575144,0.7315251804328997,4,0.0002626604170243034,0.006897421776625712,0.007414823605851839,0.9314986846850132,0.9543324564566754,0.045667543543324585,0.0,0.9999999996386602,0.08243627639471239,9,0.0012061227568973191,0.04535749074642515,0.0477720516822796,0.0625
